OBJECTID, FIRE_SIZE, LATITUDE, LONGITUDE
24809, 7603.0, 44.6, -115.73333333
24821, 8401.0, 45.9875, -115.12833333
24834, 6547.0, 46.23111111, -115.11583333
24835, 240207.0, 34.77916667, -120.09
24836, 20327.0, 46.105, -114.835
24853, 80628.66, 45.31444444, -115.54138889
24857, 95193.0, 45.06972222, -115.72944444
24905, 6233.0, 45.51722222, -114.88416667
25050, 19941.0, 45.22027778, -114.43805556
25067, 19520.0, 45.27, -114.805
25215, 13450.0, 44.60055556, -107.67083333
25226, 23760.0, 44.38333333, -117.07055556
25281, 11791.0, 48.16722222, -120.59944444
25351, 60009.0, 44.62083333, -114.62222222
25415, 46298.0, 46.86972222, -111.88222222
25448, 72361.0, 42.20194444, -113.2175
25460, 120077.0, 45.13777778, -115.85583333
25483, 15000.0, 33.57027778, -109.38083333
25616, 44176.0, 48.27138889, -113.39527778
25678, 31624.7, 43.855, -119.68166667
25713, 7357.0, 44.34305556, -121.80638889
25783, 42694.0, 46.3675, -114.57111111
25855, 15297.0, 45.69111111, -113.25638889
25866, 55420.0, 43.6675, -119.43027778
25886, 25877.0, 45.74444444, -113.80944444
25894, 25150.0, 47.21638889, -113.03694444
25952, 28476.0, 33.74583333, -117.66666667
25961, 123014.0, 30.5, -82.36666667
25962, 14233.0, 46.60194444, -113.70027778
25964, 18222.0, 46.49583333, -113.66555556
25966, 36045.0, 46.3475, -113.7425
25969, 51000.0, 45.9875, -116.89777778
26081, 48000.0, 43.6375, -114.56111111
26115, 7762.0, 34.58916667, -111.02277778
26128, 14039.0, 34.25805556, -117.01027778
26134, 12759.0, 34.25194444, -117.05
26149, 45300.0, 34.57305556, -118.69833333
26212, 8000.0, 33.29583333, -108.34555556
26364, 197990.0, 33.07444444, -116.71111111
26388, 9472.0, 33.39694444, -117.14805556
26456, 38356.0, 34.52444444, -118.33472222
26498, 49390.0, 33.2775, -116.86805556
26506, 8590.0, 42.93111111, -110.48
26751, 29921.0, 48.33472222, -114.90138889
27596, 81378.0, 36.10527778, -121.43083333
27679, 8609.0, 31.76472222, -109.16527778
27800, 13116.0, 41.03472222, -123.00277778
27902, 162818.0, 36.28111111, -121.65833333
27965, 13709.0, 34.66, -106.46666667
28397, 44452.0, 41.5925, -123.43166667
28445, 10388.0, 41.61555556, -123.57694444
28480, 9443.0, 34.50083333, -119.86055556
28571, 32059.0, 40.73416667, -123.16666667
28729, 49092.0, 32.44777778, -104.92916667
28733, 12720.0, 40.83333333, -123.43416667
29182, 10173.0, 45.16944444, -109.4875
29207, 6112.0, 40.02, -121.1675
29705, 45814.0, 37.52694444, -103.76944444
29805, 7950.0, 32.06166667, -110.52916667
30195, 24776.0, 40.66972222, -123.30555556
30279, 25199.0, 40.51833333, -123.42277778
30325, 6625.0, 40.40666667, -123.13194444
30336, 12856.0, 40.32583333, -122.96222222
30354, 10213.0, 40.46333333, -122.88277778
30382, 32903.0, 40.14583333, -122.86611111
30779, 17449.0, 40.06722222, -122.93083333
30798, 7783.0, 39.89388889, -122.7075
31201, 14936.0, 40.17916667, -121.47027778
31561, 8300.0, 33.475, -109.3875
31678, 9629.0, 34.17361111, -112.33972222
31874, 68148.0, 44.495, -109.8225
31962, 54545.0, 41.78, -115.32666667
32055, 7631.9, 40.97166667, -115.26361111
32205, 9164.0, 39.21555556, -120.64861111
32252, 19775.0, 43.32944444, -122.54388889
32273, 11200.0, 36.0025, -121.43972222
32494, 15300.0, 36.11666667, -118.13361111
32505, 37026.0, 35.41916667, -118.40027778
32654, 65834.0, 41.56333333, -123.59472222
32655, 17540.0, 41.56527778, -123.82055556
32660, 15118.0, 40.77111111, -123.52777778
32662, 38394.0, 41.35638889, -123.37611111
32667, 13654.0, 41.45333333, -123.39305556
32697, 8332.0, 41.42527778, -123.43111111
32766, 21125.0, 42.71916667, -122.25611111
32791, 10836.0, 39.16333333, -120.66
32853, 31419.0, 40.86666667, -123.28527778
32878, 25398.0, 40.78138889, -123.43361111
32879, 28336.0, 40.71666667, -122.43444444
32922, 11496.0, 39.97, -121.29638889
32928, 7456.0, 36.90361111, -118.80111111
33101, 37725.0, 43.62527778, -115.22888889
33102, 8135.0, 31.57, -111.14361111
33154, 10458.0, 30.09916667, -84.69111111
33370, 13009.0, 39.78611111, -121.18722222
33479, 15089.0, 43.10833333, -109.91277778
33549, 32250.0, 40.07555556, -123.09638889
33567, 34091.0, 37.5675, -119.99694444
33715, 6182.0, 38.58777778, -116.6775
33733, 6246.0, 40.11972222, -122.98361111
33749, 11222.0, 34.33, -118.41111111
34009, 10788.73, 35.44333333, -112.02277778
34013, 30305.0, 33.87277778, -117.73888889
34136, 12500.0, 40.875, -120.875
34846, 8733.0, 34.47416667, -119.72805556
34919, 10022.0, 29.19194444, -81.69722222
35819, 16802.0, 31.50222222, -109.08361111
35852, 8591.0, 31.56444444, -109.00583333
36068, 9000.0, 33.75944444, -108.52888889
36785, 12607.0, 37.43833333, -113.39277778
36995, 6900.0, 44.92472222, -118.65138889
37059, 44345.0, 40.61361111, -112.66638889
37645, 6990.0, 46.5525, -114.23527778
37687, 9356.0, 40.68333333, -121.46666667
38012, 6923.0, 40.98055556, -121.81388889
39185, 91622.0, 34.94972222, -119.97777778
39930, 6130.0, 38.175, -120.24916667
40353, 14560.0, 43.47416667, -122.10194444
40667, 7300.0, 37.64638889, -108.71833333
40804, 7128.0, 34.22972222, -117.47833333
40851, 6399.0, 34.5275, -110.77111111
41165, 7718.0, 35.0225, -112.0775
41170, 13790.0, 35.46722222, -111.91638889
41221, 10721.0, 43.1525, -122.53472222
41297, 160371.0, 34.2425, -118.18888889
41353, 7055.0, 33.14194444, -108.02194444
41357, 22000.0, 33.27555556, -108.03805556
41371, 6322.0, 33.60527778, -109.44388889
41378, 8395.0, 43.33861111, -122.78694444
42589, 7379.0, 45.18333333, -105.88333333
43077, 6080.0, 45.44166667, -115.98833333
43146, 13925.0, 45.51333333, -115.81666667
43150, 23654.0, 45.47833333, -115.635
44674, 29000.0, 33.31666667, -108.41666667
45374, 177544.0, 43.48, -115.68833333
45387, 12860.0, 43.655, -115.96666667
45482, 8310.0, 44.40333333, -115.325
45925, 38200.0, 41.81666667, -115.66666667
45956, 7180.0, 41.75, -117.6
46010, 17500.0, 45.01333333, -116.81
46048, 6500.0, 45.24666667, -116.17833333
46252, 9500.0, 42.12138889, -114.17555556
47014, 24580.0, 38.775, -120.45
47129, 8800.0, 37.55, -119.095
48935, 64000.0, 40.76166667, -121.98
49272, 18000.0, 38.16833333, -120.60666667
49923, 10706.0, 42.26, -120.96833333
51715, 30809.0, 42.595, -121.67333333
52079, 7400.0, 30.06, -85.01
55071, 13820.0, 33.41666667, -108.16666667
55073, 14700.0, 33.66666667, -107.78333333
55143, 32000.0, 33.08333333, -108.5
55152, 11000.0, 33.25166667, -108.38
55155, 6400.0, 33.39666667, -108.495
56944, 21384.0, 33.47166667, -117.48833333
56960, 20768.0, 33.15833333, -116.97333333
57322, 43201.0, 34.68666667, -119.95833333
57798, 8780.0, 33.94, -116.88333333
60848, 35696.0, 32.46333333, -110.38666667
62083, 8212.0, 46.44666667, -114.95333333
62295, 8497.0, 47.71, -113.33166667
62374, 10610.0, 48.30333333, -114.83333333
62383, 12500.0, 45.67, -109.99166667
62526, 9000.0, 48.75333333, -115.48833333
63259, 8203.0, 47.425, -114.76
64057, 7150.0, 43.86666667, -104.69166667
65061, 22200.0, 33.70166667, -107.46166667
65113, 6060.0, 36.35833333, -103.26166667
65775, 27720.0, 31.90666667, -109.30333333
65851, 11809.0, 32.93833333, -110.23
65911, 14590.0, 32.19, -110.49833333
66128, 6250.0, 33.09833333, -107.90166667
67574, 30655.0, 43.695, -115.93333333
67592, 146400.0, 43.78166667, -115.62833333
67627, 13400.0, 44.72333333, -115.65166667
67885, 7848.0, 44.51833333, -114.85166667
68103, 12031.0, 39.43333333, -112.21666667
68377, 115659.0, 45.115, -116.17833333
68466, 8300.0, 45.04166667, -115.97333333
